date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:17:59	315628/315628	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2261fc481f-4d0ec%22	https://www.northerncoastdiving.com/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.svg?5.14.0	C:/My%20Web%20Sites/northern%20coast%20diving/www.northerncoastdiving.com/wp-content/plugins/elementor/assets/lib/eicons/fonts/eiconsdc2c.svg	(from https://www.northerncoastdiving.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.14.0)
01:17:59	165742/165742	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2261fc481f-2876e%22	https://www.northerncoastdiving.com/wp-content/plugins/elementor/assets/lib/font-awesome/fonts/fontawesome-webfont.eot?v=4.7.0	C:/My%20Web%20Sites/northern%20coast%20diving/www.northerncoastdiving.com/wp-content/plugins/elementor/assets/lib/font-awesome/fonts/fontawesome-webfont3e6e.eot	(from https://www.northerncoastdiving.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.min.css?ver=4.7.0)
01:17:59	165742/165742	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2261fc481f-2876e%22	https://www.northerncoastdiving.com/wp-content/plugins/elementor/assets/lib/font-awesome/fonts/fontawesome-webfont.eot?	C:/My%20Web%20Sites/northern%20coast%20diving/www.northerncoastdiving.com/wp-content/plugins/elementor/assets/lib/font-awesome/fonts/fontawesome-webfontd41d.eot	(from https://www.northerncoastdiving.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.min.css?ver=4.7.0)
01:17:59	77160/77160	---M--	200	added ('OK')	font/woff2	etag:%2261fc481f-12d68%22	https://www.northerncoastdiving.com/wp-content/plugins/elementor/assets/lib/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0	C:/My%20Web%20Sites/northern%20coast%20diving/www.northerncoastdiving.com/wp-content/plugins/elementor/assets/lib/font-awesome/fonts/fontawesome-webfont3e6e.woff2	(from https://www.northerncoastdiving.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.min.css?ver=4.7.0)
01:17:59	98024/98024	---M--	200	added ('OK')	font/woff	etag:%2261fc481f-17ee8%22	https://www.northerncoastdiving.com/wp-content/plugins/elementor/assets/lib/font-awesome/fonts/fontawesome-webfont.woff?v=4.7.0	C:/My%20Web%20Sites/northern%20coast%20diving/www.northerncoastdiving.com/wp-content/plugins/elementor/assets/lib/font-awesome/fonts/fontawesome-webfont3e6e.woff	(from https://www.northerncoastdiving.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.min.css?ver=4.7.0)
01:18:00	165548/165548	---M--	200	added ('OK')	application/octet-stream	etag:%2261fc481f-286ac%22	https://www.northerncoastdiving.com/wp-content/plugins/elementor/assets/lib/font-awesome/fonts/fontawesome-webfont.ttf?v=4.7.0	C:/My%20Web%20Sites/northern%20coast%20diving/www.northerncoastdiving.com/wp-content/plugins/elementor/assets/lib/font-awesome/fonts/fontawesome-webfont3e6e.ttf	(from https://www.northerncoastdiving.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.min.css?ver=4.7.0)
01:18:00	444379/444379	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2261fc481f-6c7db%22	https://www.northerncoastdiving.com/wp-content/plugins/elementor/assets/lib/font-awesome/fonts/fontawesome-webfont.svg?v=4.7.0	C:/My%20Web%20Sites/northern%20coast%20diving/www.northerncoastdiving.com/wp-content/plugins/elementor/assets/lib/font-awesome/fonts/fontawesome-webfont3e6e.svg	(from https://www.northerncoastdiving.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.min.css?ver=4.7.0)
01:18:01	2463757/2463757	---M--	200	added ('OK')	image/jpeg	etag:%225ff60d56-25980d%22	https://northerncoasta.wpengine.com/wp-content/uploads/2018/07/LRM_EXPORT_20180207_122545_resized_1.jpg	C:/My%20Web%20Sites/northern%20coast%20diving/northerncoasta.wpengine.com/wp-content/uploads/2018/07/LRM_EXPORT_20180207_122545_resized_1.jpg	(from https://www.northerncoastdiving.com/wp-content/uploads/elementor/css/post-37.css?ver=1634076979)
01:18:01	59275/59275	---M--	200	added ('OK')	image/jpeg	etag:%225ff60d56-e78b%22	https://northerncoasta.wpengine.com/wp-content/uploads/2018/07/PADI_ver_col_web.jpg	C:/My%20Web%20Sites/northern%20coast%20diving/northerncoasta.wpengine.com/wp-content/uploads/2018/07/PADI_ver_col_web.jpg	(from https://www.northerncoastdiving.com/wp-content/uploads/elementor/css/post-37.css?ver=1634076979)
01:18:01	4216784/4216784	---M--	200	added ('OK')	image/jpeg	etag:%225ff60d26-4057d0%22	https://northerncoasta.wpengine.com/wp-content/uploads/2018/07/IMG_2236.jpg	C:/My%20Web%20Sites/northern%20coast%20diving/northerncoasta.wpengine.com/wp-content/uploads/2018/07/IMG_2236.jpg	(from https://www.northerncoastdiving.com/wp-content/uploads/elementor/css/post-37.css?ver=1634076979)
01:18:02	57390/57390	---M--	200	added ('OK')	image/jpeg	etag:%225ff60cc3-e02e%22	https://northerncoasta.wpengine.com/wp-content/uploads/2017/07/Paradise-624x468.jpg	C:/My%20Web%20Sites/northern%20coast%20diving/northerncoasta.wpengine.com/wp-content/uploads/2017/07/Paradise-624x468.jpg	(from https://www.northerncoastdiving.com/wp-content/uploads/elementor/css/post-37.css?ver=1634076979)
